timestamp,course_enrolled,hear_ccm_website,hear_social_media,hear_community_event,hear_family_friend,hear_current_student,hear_alumni,hear_hs_teacher,hear_hs_counselor,hear_inapp_ad,hear_employer,hear_billboard,hear_tv,hear_radio,hear_other,event_open_house,event_instant_decision_day,event_oncampus_info_session,event_titans_tuesday_virtual,event_women_who_dare,event_college_fair,event_hs_sharetime_session,event_challenger_program,event_cybersecurity_program,event_hs_info_session,event_hs_campus_visit,event_individual_campus_visit,event_workforce_class,event_corporate_training,event_teens_arts,event_ccm_summer_camp,impact_hs_computing_class,impact_hs_computing_club,impact_ap_computing_class,impact_dual_enrollment,degree_program,motivation_job,motivation_transfer_bachelors,motivation_transfer_hs,motivation_career_advancement,motivation_career_change,motivation_professional_dev,motivation_job_displacement,motivation_relocation,motivation_keep_current,motivation_certifications,motivation_financial,motivation_enrichment,info_hs_counselor,info_hs_teacher,info_ccm_website,info_ccm_admissions,info_ccm_advisor,info_employer,info_ccm_workforce_development,info_nj_workforce_development,info.other,gender,age
2024/09/09 12:33:58 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering Technologies ,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Man,21-24
2024/09/09 6:00:11 PM AST,,No,No,Yes,No,No,No,Yes,Don't recall,No,No,No,No,No,Don't recall,Yes,No,No,No,No,Not Sure,No,No,No,No,No,No,No,No,No,Not Sure,,,,,CIS Game Development Option,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Don't recall,Don't recall,No,No,No,No,No,No,Don't recall,Man,18 and younger
2024/09/10 9:00:12 AM AST,CMP 128 Computer Science I,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Man,18 and younger
2024/09/10 12:34:53 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,High Impact,High Impact,No Impact,No Impact,Mechanical Engineering,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Man,19-20
2024/09/10 3:06:47 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Don't recall,Don't recall,No,No,No,Yes,No,No,Yes,Man,19-20
2024/09/10 3:07:28 PM AST,CMP 128 Computer Science I,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Man,21-24
2024/09/10 3:07:36 PM AST,CMP 128 Computer Science I,Yes,Yes,Don't recall,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Business Admin,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Man,19-20
2024/09/10 3:07:42 PM AST,CMP 128 Computer Science I,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,,,,No Response,No Response,No Response,,Woman,19-20
2024/09/10 3:07:51 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No Impact,Some Impact,No Impact,Some Impact,"Technical Studies, Applied Associate of Science",Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,No,Woman,18 and younger
2024/09/10 3:08:06 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Man,18 and younger
